row,reason,detail
123,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
188,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
179,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
148,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
89,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
122,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
102,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
31,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
113,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
81,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
11,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
126,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
97,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
184,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
75,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
197,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
145,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
63,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
17,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
20,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
0,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
198,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
175,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
84,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
129,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
121,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
195,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
193,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
127,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
62,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
152,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
37,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
64,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
107,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
19,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
73,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
98,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
29,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
43,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
194,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
7,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
82,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
41,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
178,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
90,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
186,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
74,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
58,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
132,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
187,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
160,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
182,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
143,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
51,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
110,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
151,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
108,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
35,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
30,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
199,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
100,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
157,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
181,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
190,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
166,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
94,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
140,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
116,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
5,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
124,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
176,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
15,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
6,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
171,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
55,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
111,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
21,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
168,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
133,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
93,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
109,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
22,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
167,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
177,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
56,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
141,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
14,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
180,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
169,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
45,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
12,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
136,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
42,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
3,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
87,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
125,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
159,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
135,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
174,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
39,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
71,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
76,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
44,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
165,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
189,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
9,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
47,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
13,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
1,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
24,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
128,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
183,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
154,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
137,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
117,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
34,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
38,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
158,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
119,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
185,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
106,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
112,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
91,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
147,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
150,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
65,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
88,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
153,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
191,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
68,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
134,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
96,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
10,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
79,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
95,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
28,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
53,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
40,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
149,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
46,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
70,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
72,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
103,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
8,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
114,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
99,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
144,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
164,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
86,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
